,inscricao,latitude,longitude,valor_aval,exercicio,bairro
0,0,"-22,8424471","-42,0008143",10798864.374342827,2005,Guriri
1,1,"-22,8288771","-41,9927555",23834102.41791248,2007,Guriri
2,2,"-22,8376135","-41,9957464",6088596.0163089605,2014,Guriri
3,3,"-22,8376135","-41,9957464",22346126.74998098,2013,Guriri
4,4,"-22,8376135","-41,9957464",23254612.103339594,2013,Guriri
5,5,"-22,8288771","-41,9927555",2317729.5333792064,2007,Guriri
6,6,"-22,8288771","-41,9927555",4447161.670339488,2019,Guriri
7,7,"-22,8288771","-41,9927555",5601220.50061184,2017,Guriri
8,8,"-22,8366171","-41,994671",9748640.82317724,2019,Guriri
9,9,"-22,831688","-41,998364",52947026.973601796,2014,Guriri
10,10,"-22,831688","-41,998364",9825873.84770339,2019,Guriri
11,11,"-22,8288771","-41,9927555",40199186.76787768,2010,Guriri
12,12,"-22,838726","-41,995243",11476286.457025863,2013,Guriri
13,13,"-22,838726","-41,995243",10023333.707992584,2013,Guriri
14,14,"-22,838726","-41,995243",22900936.88347324,2018,Guriri
15,15,"-22,8291536","-41,992339",4291358.881388345,2006,Guriri
16,16,"-22,838726","-41,995243",7100649.556146177,2007,Guriri
17,17,"-22,838726","-41,995243",6280036.433217381,2010,Guriri
18,18,"-22,838726","-41,995243",2324029.2958480865,2007,Guriri
19,19,"-22,838726","-41,995243",28577523.386555422,2015,Guriri
20,20,"-22,838726","-41,995243",22242315.635591343,2008,Guriri
21,21,"-22,838726","-41,995243",10168324.160080336,2016,Guriri
22,22,"-22,838726","-41,995243",7776779.953017371,2018,Guriri
23,23,"-22,838726","-41,995243",14863171.070370466,2017,Guriri
24,24,"-22,838726","-41,995243",33848488.19566535,2014,Guriri
25,25,"-22,838726","-41,995243",37446224.55541489,2016,Guriri
26,26,"-22,838726","-41,995243",24693877.24832679,2014,Guriri
27,27,"-22,8453099","-41,999958",2024374.2727801222,2021,Guriri
28,28,"-22,8376135","-41,9957464",4854295.386837763,2015,Guriri
29,29,"-22,8376135","-41,9957464",51113885.209768176,2020,Guriri
30,30,"-22,8376135","-41,9957464",2247610.2200448727,2013,Guriri
31,31,"-22,8376135","-41,9957464",8471247.685015509,2020,Guriri
32,32,"-22,8376135","-41,9957464",22555751.923976984,2012,Guriri
33,33,"-22,8376135","-41,9957464",16322072.243080553,2022,Guriri
34,34,"-22,8376135","-41,9957464",4927.707723308704,2022,Guriri
35,35,"-22,8376135","-41,9957464",378873.07768482115,2019,Guriri
36,36,"-22,8376135","-41,9957464",13981889.105072638,2018,Guriri
37,37,"-22,8376135","-41,9957464",337835.19160963886,2007,Guriri
38,38,"-22,8376135","-41,9957464",26262163.861921687,2021,Guriri
39,39,"-22,8376135","-41,9957464",47705049.39251673,2008,Guriri
40,40,"-22,8346575","-41,9978428",24376646.06545216,2014,Guriri
41,41,"-22,8352067","-41,995841",12990868.017995054,2021,Guriri
42,42,"-22,8352067","-41,995841",22813203.400596235,2007,Guriri
43,43,"-22,8352067","-41,995841",14259259.679747406,2020,Guriri
44,44,"-22,8352067","-41,995841",5984877.3812518455,2012,Guriri
45,45,"-22,8352067","-41,995841",9808405.47947942,2010,Guriri
46,46,"-22,8376135","-41,9957464",1483394.862996889,2016,Guriri
47,47,"-22,8376135","-41,9957464",29594529.791847132,2022,Guriri
48,48,"-22,8376135","-41,9957464",6520593.316487837,2007,Guriri
49,49,"-22,8376135","-41,9957464",10632757.747133117,2008,Guriri
50,50,"-22,8376135","-41,9957464",33617705.254460305,2015,Guriri
51,51,"-22,8376135","-41,9957464",10105843.198828297,2016,Guriri
52,52,"-22,8376135","-41,9957464",25149337.715518028,2011,Guriri
53,53,"-22,8376135","-41,9957464",5655815.816645483,2011,Guriri
54,54,"-22,8376135","-41,9957464",8218263.999208926,2019,Guriri
55,55,"-22,8376135","-41,9957464",1804804.7435925396,2011,Guriri
56,56,"-22,8376135","-41,9957464",11759922.467618058,2017,Guriri
57,57,"-22,8376135","-41,9957464",11661602.462759316,2012,Guriri
58,58,"-22,8356825","-41,9931633",26787546.13720106,2009,Guriri
59,59,"-22,8356825","-41,9931633",33608215.678500056,2019,Guriri
60,60,"-22,842124","-41,9964437",21541770.60303828,2007,Guriri
61,61,"-22,842124","-41,9964437",20237305.670333922,2016,Guriri
62,62,"-22,842124","-41,9964437",21642322.419436786,2005,Guriri
63,63,"-22,842124","-41,9964437",24591246.182228126,2014,Guriri
64,64,"-22,842124","-41,9964437",24763139.986393414,2020,Guriri
65,65,"-22,842124","-41,9964437",3922023.444968419,2011,Guriri
66,66,"-22,8380706","-41,9947634",7953837.741323356,2014,Guriri
67,67,"-22,836368","-41,9966031",6936900.436984094,2011,Guriri
68,68,"-22,8433999","-42,0028661",13911948.87717567,2014,Guriri
69,69,"-22,8444761","-42,0013407",20446718.247582257,2013,Guriri
70,70,"-22,8316801","-41,9961221",42601860.14517406,2007,Guriri
71,71,"-22,8316801","-41,9961221",8630151.605645593,2008,Guriri
72,72,"-22,8316801","-41,9961221",5674260.110433562,2013,Guriri
73,73,"-22,8316801","-41,9961221",6382100.850259631,2013,Guriri
74,74,"-22,8316801","-41,9961221",4903403.794742361,2020,Guriri
75,75,"-22,8376135","-41,9957464",1428616.3850406613,2010,Guriri
76,76,"-22,8376135","-41,9957464",34803507.27114304,2021,Guriri
77,77,"-22,8288771","-41,9927555",9843740.141965602,2008,Guriri
78,78,"-22,8274408","-41,9951058",3924300.820637109,2016,Guriri
79,79,"-22,8327326","-41,9980138",2942795.686471804,2006,Guriri
80,80,"-22,8327326","-41,9980138",6364398.633835687,2013,Guriri
81,81,"-22,8327326","-41,9980138",9831432.28023223,2013,Guriri
82,82,"-22,8327326","-41,9980138",538526.0613819595,2008,Guriri
83,83,"-22,8327326","-41,9980138",32713564.796303034,2011,Guriri
84,84,"-22,8327326","-41,9980138",284523.1333180292,2021,Guriri
85,85,"-22,8380706","-41,9947634",12783784.474420873,2015,Guriri
86,86,"-22,8380706","-41,9947634",3662352.824563944,2015,Guriri
87,87,"-22,8380706","-41,9947634",6749883.376618765,2014,Guriri
88,88,"-22,8327326","-41,9980138",3676182.692343573,2019,Guriri
89,89,"-22,8366653","-41,9965941",63287033.17674388,2011,Guriri
90,90,"-22,8366171","-41,994671",17763331.699518185,2021,Guriri
91,91,"-22,8366171","-41,994671",10914336.847203014,2009,Guriri
92,92,"-22,8366171","-41,994671",4293082.019489993,2022,Guriri
93,93,"-22,8367089","-41,9965515",36958059.60171462,2014,Guriri
94,94,"-22,8367089","-41,9965515",27043411.220253248,2011,Guriri
95,95,"-22,8367089","-41,9965515",3594040.6086885,2018,Guriri
96,96,"-22,838726","-41,995243",2934454.822663986,2021,Guriri
97,97,"-22,838726","-41,995243",8941748.18550436,2010,Guriri
98,98,"-22,838726","-41,995243",5474097.360670782,2016,Guriri
99,99,"-22,838726","-41,995243",4342012.975059347,2014,Guriri
100,100,"-22,8333906","-42,0002516",23593966.410224114,2016,Caminho de Búzios
101,101,"-22,8333906","-42,0002516",32697749.814489555,2011,Caminho de Búzios
102,102,"-22,8333906","-42,0002516",4703579.49957596,2016,Caminho de Búzios
103,103,"-22,8333906","-42,0002516",2963230.5048982804,2011,Caminho de Búzios
104,104,"-22,8333906","-42,0002516",15496133.83937716,2016,Caminho de Búzios
105,105,"-22,8333906","-42,0002516",34937269.81806866,2021,Caminho de Búzios
106,106,"-22,8333906","-42,0002516",411140.3407994097,2005,Caminho de Búzios
107,107,"-22,8333906","-42,0002516",7357406.226652563,2008,Caminho de Búzios
108,108,"-22,8333906","-42,0002516",30706655.84730927,2020,Caminho de Búzios
109,109,"-22,8333906","-42,0002516",25667025.14533943,2006,Caminho de Búzios
110,110,"-22,8333906","-42,0002516",2171159.4988710224,2018,Caminho de Búzios
111,111,"-22,8290266","-42,0074087",40858613.58419081,2018,Caminho de Búzios
112,112,"-22,8333906","-42,0002516",30273427.99354139,2018,Caminho de Búzios
113,113,"-22,8333906","-42,0002516",8490763.566815436,2007,Caminho de Búzios
114,114,"-22,8333906","-42,0002516",66643951.69189904,2012,Caminho de Búzios
115,115,"-22,8333906","-42,0002516",19823218.949463714,2012,Caminho de Búzios
116,116,"-22,8333906","-42,0002516",59668006.37239139,2015,Caminho de Búzios
117,117,"-22,8333906","-42,0002516",10596861.37079612,2020,Caminho de Búzios
118,118,"-22,8333906","-42,0002516",29487790.915703826,2009,Caminho de Búzios
119,119,"-22,8333906","-42,0002516",4749413.123876915,2011,Caminho de Búzios
120,120,"-22,8333906","-42,0002516",7820518.544037257,2017,Caminho de Búzios
121,121,"-22,8333906","-42,0002516",9953395.163140837,2014,Caminho de Búzios
122,122,"-22,8333906","-42,0002516",11241530.531374888,2012,Caminho de Búzios
123,123,"-22,8333906","-42,0002516",3894992.3953860197,2020,Caminho de Búzios
124,124,"-22,8333906","-42,0002516",22731607.994846288,2012,Caminho de Búzios
125,125,"-22,8333906","-42,0002516",9599940.852193287,2020,Caminho de Búzios
126,126,"-22,8333906","-42,0002516",15107487.35978043,2018,Caminho de Búzios
127,127,"-22,8333906","-42,0002516",10383736.09468985,2008,Caminho de Búzios
128,128,"-22,8337279","-42,0013436",21967792.54082348,2011,Caminho de Búzios
129,129,"-22,8333906","-42,0002516",34417238.4801779,2008,Caminho de Búzios
130,130,"-22,8333906","-42,0002516",23432425.510332003,2005,Caminho de Búzios
131,131,"-22,8333906","-42,0002516",5919315.202332676,2021,Caminho de Búzios
132,132,"-22,8333906","-42,0002516",23983251.887673374,2014,Caminho de Búzios
133,133,"-22,8333906","-42,0002516",36923584.714499526,2010,Caminho de Búzios
134,134,"-22,8333906","-42,0002516",4235235.285132276,2007,Caminho de Búzios
135,135,"-22,8333906","-42,0002516",25435937.413519707,2008,Caminho de Búzios
136,136,"-22,8333906","-42,0002516",2681015.282132327,2013,Caminho de Búzios
137,137,"-22,8333906","-42,0002516",27716711.653853275,2019,Caminho de Búzios
138,138,"-22,8333906","-42,0002516",12466728.706688829,2018,Caminho de Búzios
139,139,"-22,8333906","-42,0002516",11835016.724047666,2009,Caminho de Búzios
140,140,"-22,8337279","-42,0013436",1255500.6330663334,2008,Caminho de Búzios
141,141,"-22,8333906","-42,0002516",63383607.56498524,2009,Caminho de Búzios
142,142,"-22,8337279","-42,0013436",1487890.4882234512,2007,Caminho de Búzios
143,143,"-22,8351664","-42,0016211",29938339.58541727,2013,Caminho de Búzios
144,144,"-22,8364481","-42,0002287",55624166.19112969,2014,Caminho de Búzios
145,145,"-22,8337279","-42,0013436",5839929.747943072,2007,Caminho de Búzios
146,146,"-22,8333906","-42,0002516",11115910.083910037,2016,Caminho de Búzios
147,147,"-22,8333906","-42,0002516",2826614.9933301182,2013,Caminho de Búzios
148,148,"-22,8296418","-42,003386",2141483.5320818448,2022,Caminho de Búzios
149,149,"-22,8352731","-41,9987805",11350030.642111802,2021,Caminho de Búzios
150,150,"-22,8352731","-41,9987805",10346947.20513451,2011,Caminho de Búzios
151,151,"-22,8352731","-41,9987805",17076326.981790196,2007,Caminho de Búzios
152,152,"-22,8364481","-42,0002287",8989039.758727884,2009,Caminho de Búzios
153,153,"-22,8333906","-42,0002516",3465560.39430761,2021,Caminho de Búzios
154,154,"-22,8303274","-42,0045356",1442134.239220513,2013,Caminho de Búzios
155,155,"-22,8303274","-42,0045356",4347157.0677126525,2008,Caminho de Búzios
156,156,"-22,8320677","-42,0030806",43894102.43484047,2009,Caminho de Búzios
157,157,"-22,8351664","-42,0016211",6025478.588134369,2012,Caminho de Búzios
158,158,"-22,8356013","-42,0011481",27309101.155632798,2012,Caminho de Búzios
159,159,"-22,8364481","-42,0002287",5540058.082291719,2013,Caminho de Búzios
160,160,"-22,8333906","-42,0002516",8289567.636036527,2014,Caminho de Búzios
161,161,"-22,829844","-42,0049959",6304207.785950956,2013,Caminho de Búzios
162,162,"-22,8333906","-42,0002516",32354246.92252937,2009,Caminho de Búzios
163,163,"-22,8352731","-41,9987805",3818988.716629206,2007,Caminho de Búzios
164,164,"-22,8352731","-41,9987805",34042277.47636435,2012,Caminho de Búzios
165,165,"-22,8333906","-42,0002516",134375.05541864142,2021,Caminho de Búzios
166,166,"-22,8333906","-42,0002516",4902324.52382705,2008,Caminho de Búzios
167,167,"-22,8303282","-42,0045557",28252180.790581178,2011,Caminho de Búzios
168,168,"-22,8303274","-42,0045356",13486594.245883282,2010,Caminho de Búzios
169,169,"-22,8351664","-42,0016211",477488.55641106685,2018,Caminho de Búzios
170,170,"-22,8356013","-42,0011481",14674177.275854751,2021,Caminho de Búzios
171,171,"-22,8342093","-42,0002555",4269351.491672672,2016,Caminho de Búzios
172,172,"-22,8323639","-42,006531",17928847.08737962,2018,Caminho de Búzios
173,173,"-22,831212","-42,0067729",21231734.337891772,2013,Caminho de Búzios
174,174,"-22,8318342","-42,006092",20850643.56176368,2010,Caminho de Búzios
175,175,"-22,8296418","-42,003386",22190983.470842946,2019,Caminho de Búzios
176,176,"-22,8333906","-42,0002516",3583305.527278988,2007,Caminho de Búzios
177,177,"-22,8351664","-42,0016211",37201966.80633011,2015,Caminho de Búzios
178,178,"-22,8356013","-42,0011481",2815230.703591049,2015,Caminho de Búzios
179,179,"-22,8364481","-42,0002287",2441851.0878400253,2019,Caminho de Búzios
180,180,"-22,8352731","-41,9987805",1047759.6722872783,2015,Caminho de Búzios
181,181,"-22,8333906","-42,0002516",21701901.507513896,2014,Caminho de Búzios
182,182,"-22,8342093","-42,0002555",1429385.6620059353,2013,Caminho de Búzios
183,183,"-22,8342093","-42,0002555",10272676.916686656,2020,Caminho de Búzios
184,184,"-22,8340735","-42,0028342",13914673.486186756,2015,Caminho de Búzios
185,185,"-22,8356013","-42,0011481",9016313.234184716,2008,Caminho de Búzios
186,186,"-22,8352731","-41,9987805",11819097.663123406,2018,Caminho de Búzios
187,187,"-22,8306097","-42,0057923",4153017.6636692337,2013,Caminho de Búzios
188,188,"-22,8311931","-42,0037242",385547.88452894735,2010,Caminho de Búzios
189,189,"-22,8318911","-42,0042703",10299850.88664143,2006,Caminho de Búzios
190,190,"-22,8283092","-42,0037709",4083508.6124052047,2021,Caminho de Búzios
191,191,"-22,8340735","-42,0028342",17398954.917467546,2017,Caminho de Búzios
192,192,"-22,8340735","-42,0028342",16303491.751658913,2013,Caminho de Búzios
193,193,"-22,8352731","-41,9987805",22552962.534067363,2020,Caminho de Búzios
194,194,"-22,8333906","-42,0002516",1073444.5342677224,2021,Caminho de Búzios
195,195,"-22,8342093","-42,0002555",11388303.658543173,2010,Caminho de Búzios
196,196,"-22,8352731","-41,9987805",5000246.420032169,2007,Caminho de Búzios
197,197,"-22,8364481","-42,0002287",9746835.345168533,2013,Caminho de Búzios
198,198,"-22,8296418","-42,003386",42558117.81703201,2018,Caminho de Búzios
199,199,"-22,8340735","-42,0028342",4704928.335839282,2021,Caminho de Búzios
200,200,"-22,8297433","-42,0082765",1915314.2536692957,2012,Caminho de Búzios
201,201,"-22,8296418","-42,003386",26503681.572736885,2016,Caminho de Búzios
202,202,"-22,8296555","-42,0016937",456019.89707159414,2016,Caminho de Búzios
203,203,"-22,8318911","-42,0042703",889044.9018890144,2016,Caminho de Búzios
204,204,"-22,8336475","-42,0033839",22109972.303016603,2014,Caminho de Búzios
205,205,"-22,8351664","-42,0016211",8740262.130479569,2006,Caminho de Búzios
